RAM,CPU,Time
1483.75,8.171874999999996,0.0
1359.625,8.409374999999997,0.0
1158.25,8.828124999999998,0.0
1239.3939393939395,9.190909090909088,0.0
1226.0,9.049999999999997,0.0
1292.125,8.399999999999997,0.0
1259.0,9.381249999999998,0.0
1261.125,8.862499999999999,0.0
1252.125,8.612499999999999,0.0
1331.375,10.24375,0.0
1436.125,9.084374999999998,0.0
1387.375,9.209375,0.0
1299.625,8.825,0.0
1158.0,9.253124999999999,0.0
1325.125,9.081249999999997,0.0
1346.6666666666667,8.927272727272724,0.0
1197.875,12.209375000000001,0.0
1406.25,9.65625,0.0
1312.4848484848485,9.893939393939393,0.0
1179.75,9.878125,0.0
1493.375,8.603124999999997,0.0
1266.909090909091,9.36363636363636,0.0
1186.125,9.181249999999999,0.0
1312.375,8.990624999999998,0.0
1220.2424242424242,9.751515151515152,0.0
1207.5,8.7875,0.0
1355.375,8.440624999999999,0.0
1286.5,9.249999999999998,0.0
1372.875,9.162499999999998,0.0
1292.75,9.237499999999999,0.0
1273.5757575757575,9.12121212121212,0.0
1279.5,9.406249999999998,0.0
1268.4848484848485,9.006060606060606,0.0
1259.875,9.790624999999997,0.0
1203.875,9.615625,0.0
1295.625,9.0375,0.0
1360.125,9.6125,0.0
1296.75,8.987499999999999,0.0
1175.1515151515152,8.94242424242424,0.0
1222.25,9.418749999999998,0.0
1366.25,9.362499999999997,0.0
1084.6060606060605,9.015151515151514,0.0
1330.125,10.396875,0.0
1205.0,9.056249999999999,0.0
1245.3333333333333,10.027272727272726,0.0
1302.625,9.584374999999998,0.0
1156.125,9.821875,0.0
1409.090909090909,9.37878787878788,0.0
1343.25,9.253124999999999,0.0
1129.5483870967741,9.654838709677417,0.0
1282.2048417132216,9.286654252017463,0.053454619999999994
